ham_words,count
re,707
sep,701
bit,649
wed,630
smtp,621
tue,601
one,523
get,521
fri,513
pdt,508
new,506
widthd,500
message,496
email,493
edt,484
use,483
mailing,477
time,460
like,450
friends,429
wrote,428
oct,405
dont,396
url,394
size,389
rohit,376
khare,371
xentcom,370
would,356
cc,354
free,352
clean,349
version,346
im,336
also,331
heightd,326
mail,322
see,317
td,317
found,310
widthimg,309
aug,300
phobos,300
people,299
normal,286
know,286
way,283
times,281
well,280
using,278
may,278
us,277
make,275
img,270
group,270
sfnet,269
first,268
exim,267
could,264
tr,264
table,264
network,260
think,259
even,259
good,251
linux,250
said,249
end,249
spam,248
system,248
exmh,244
invoked,242
still,242
work,240
qmail,239
need,233
go,233
microsoft,233
software,229
border,228
much,226
rpm,224
font,223
want,223
right,223
find,220
world,220
problem,218
html,218
please,215
reported,212
web,210
body,209
now,207
years,205
ive,205
sun,204
back,204
x,204
debian,203
users,202
br,201
cant,200
many,198
file,195
something,193
really,192
since,191
i,190
service,188
try,187
unknown,186
help,185
set,185
change,185
c,184
another,183
sat,182
say,181
xpyzor,181
last,181
two,179
news,179
got,175
thanks,175
doesnt,174
take,173
that,173
d,173
build,172
you,172
sure,171
messages,170
pm,170
best,169
look,169
address,168
helo,167
internet,166
head,166
run,165
used,164
windows,163
server,163
read,162
r,162
outlook,161
old,161
fork,161
things,160
without,160
perl,160
heighttd,159
youre,159
code,159
valigntop,158
original,158
color,158
add,158
next,157
week,157
link,157
copyright,156
useragent,155
me,155
center,155
colspan,154
freshrpms,153
line,153
data,152
xpriority,152
testsawl,152
better,152
produced,151
day,149
helvetica,149
files,149
top,147
today,146
ill,146
and,145
userid,145
site,145
long,145
send,144
probably,144
check,143
sent,143
rpmlist,142
business,142
working,142
egwn,141
is,141
rights,141
point,141
great,140
support,139
never,138
there,137
vamm,137
sponsored,137
case,137
release,137
page,137
might,136
e,135
in,135
real,135
anyone,134
pt,134
theres,133
s,133
xmimeole,132
someone,130
though,130
give,130
phone,129
text,129
else,128
not,128
open,128
thing,128
them,128
put,126
stuff,126
home,126
mimeole,126
issue,126
form,125
xloop,125
instead,125
keep,125
egwnnet,124
inc,124
source,123
running,123
script,123
every,122
anything,122
problems,122
going,122
made,121
enus,121
facearial,120
so,120
computer,119
bgcolorff,119
actually,119
online,119
maybe,118
year,116
yes,115
works,115
part,115
less,115
different,115
seems,115
isnt,114
yet,114
user,114
lot,114
done,113
enough,113
report,113
package,112
didnt,112
number,112
lines,111
trying,111
supplied,111
services,111
ad,111
by,111
security,110
getting,110
uid,110
september,110
course,109
again,109
come,109
all,108
footer,108
jul,108
ago,107
networks,107
systems,106
always,106
already,106
future,106
out,106
signature,106
easy,105
far,105
around,105
life,105
test,105
u,105
available,104
digital,104
chris,104
ff,104
job,103
talk,103
reserved,102
or,102
apple,102
big,102
mark,101
money,101
on,101
trtd,101
click,101
public,100
en,100
idea,100
place,99
company,99
here,99
looking,99
however,99
says,98
john,98
least,98
begin,98
thought,98
px,98
widthfont,97
bug,96
live,96
etc,96
days,96
fonttd,96
start,96
ever,96
process,96
contact,95
red,95
were,95
mozilla,94
little,94
youll,94
log,94
left,94
others,94
name,94
cnet,93
gnulinux,93
question,92
tech,92
content,92
java,92
making,92
fast,91
nsegwnnet,91
daily,91
more,91
search,91
discuss,91
let,91
nothing,90
story,90
texthtml,90
makes,89
error,89
example,89
seen,88
power,88
current,88
tom,88
bgcolor,88
quite,88
inline,87
tell,87
write,87
ii,87
include,86
high,86
key,86
large,86
including,86
able,85
possible,85
stop,85
play,85
either,85
bad,84
folder,84
hard,84
welcome,84
writes,84
local,84
games,84
heightbr,84
popular,84
groups,84
added,83
access,83
abr,83
matthias,82
program,82
hardware,82
small,82
pretty,82
full,82
august,82
cell,82
reason,81
style,81
anyway,81
bgcoloree,81
seem,81
latest,81
features,81
three,81
nmh,81
xurl,80
almost,80
too,80
widthtd,80
box,80
away,80
pc,80
must,80
called,79
war,79
ok,79
often,79
media,79
robert,79
comments,79
mr,79
copy,78
rather,78
header,78
spambayes,78
tried,78
product,78
cvs,78
xsender,77
update,77
game,77
k,77
up,77
adam,77
div,77
yahoo,77
edition,76
project,76
comment,76
second,76
format,76
borderd,76
important,76
for,75
upon,75
needs,74
personal,74
following,74
whats,74
database,74
gtk,74
view,74
installed,74
pfont,74
several,74
past,74
true,74
ms,73
looks,73
companies,73
configure,73
kind,73
geek,73
article,72
via,72
install,72
man,72
whole,72
market,72
state,72
office,72
but,72
express,72
download,72
saou,71
nice,71
show,71
fact,71
pgp,71
whether,71
issues,71
hettinga,71
machine,70
m,70
although,70
fine,70
tools,70
window,70
device,70
bb,70
based,70
guardian,70
lists,70
global,70
alignleft,70
justin,70
ask,69
music,69
razor,69
similar,69
simply,69
tdtr,69
control,69
special,69
post,69
info,69
net,68
w,68
heaven,68
hat,68
tired,68
type,68
mean,68
posted,67
was,67
main,67
wrong,67
worlds,67
worth,67
street,67
cost,67
tdfont,66
pay,66
order,66
servers,66
love,66
beberg,66
receive,66
status,66
per,65
move,65
monday,65
python,65
built,65
at,65
option,65
gets,65
arial,65
links,65
law,65
do,64
believe,64
card,64
points,64
memory,64
sans,64
within,64
hand,64
questions,64
if,64
nbspa,64
gary,64
wont,64
l,64
country,64
details,64
none,64
call,64
hspace,63
kernel,63
products,63
visit,63
ba,63
value,63
bf,63
changed,63
exactly,63
book,63
tim,63
provide,62
review,62
community,62
n,62
havent,62
month,62
choice,62
useful,62
packages,62
sites,62
months,62
gmt,62
fun,62
satalk,62
receiving,62
remove,62
tool,61
with,61
apt,61
note,61
hit,61
million,60
results,60
sort,60
mp,60
load,60
rowspan,60
soon,60
gecko,59
bits,59
typetext,59
save,59
widtha,59
mutti,59
perhaps,59
buy,59
changes,59
selling,59
fall,59
solution,59
weeks,58
easily,58
sylpheed,58
directory,58
single,58
mason,58
means,58
lawrence,58
ideas,58
sansserif,58
design,58
os,58
finding,58
person,58
irish,57
cd,57
four,57
coming,57
join,57
area,57
ilug,57
major,57
be,57
jim,57
which,57
editor,57
rh,57
fix,57
drive,57
quick,57
feature,56
interface,56
murphy,56
guess,56
folks,56
gnupg,56
bill,56
along,56
feel,56
price,56
am,56
xml,55
mb,55
clear,55
testing,55
recent,55
win,55
happen,55
words,55
section,55
wasnt,55
gives,55
youve,55
space,54
october,54
osdn,54
talking,54
iframe,54
become,54
cannot,54
imo,54
gif,54
cool,54
quickly,53
select,53
various,53
couple,53
platform,53
learn,53
browser,53
utc,53
j,53
qmqp,53
cest,53
th,53
exmhp,53
vs,53
theyre,53
button,53
hi,53
industry,52
computing,52
together,52
lots,52
released,52
went,52
hope,52
widthbr,52
heard,52
computers,52
known,52
rest,52
oh,52
why,52
july,52
wanted,52
reports,52
enjoy,52
lets,52
host,52
pages,52
lost,52
sized,52
heres,52
bgcolorcc,52
later,52
takes,52
recently,51
certainly,51
df,51
american,51
close,51
half,51
zzteana,51
clients,51
created,51
weve,51
reading,51
client,51
comes,51
plan,51
designed,51
fonttdtr,51
james,51
included,51
patch,51
alt,51
needed,51
came,51
sponsor,51
word,50
ability,50
told,50
given,50
women,50
borderbr,50
happy,50
removed,50
saying,50
exchange,50
video,50
currently,50
forged,50
exmhusers,50
consider,50
cf,50
wouldnt,50
written,50
tdimg,50
general,50
serif,50
level,49
claws,49
down,49
remember,49
geneva,49
except,49
smtpsvc,49
meta,49
ways,49
language,49
allow,49
answer,49
sometimes,49
upgrade,49
goes,49
default,48
living,48
allows,48
school,48
image,48
force,48
america,48
versions,48
wireless,48
tony,48
operating,48
record,48
simple,48
complete,47
accucast,47
cdt,47
deal,47
family,47
usa,47
states,47
series,47
tm,47
press,47
rv,47
finally,46
legal,46
mac,46
everyone,46
mode,46
hours,46
input,46
runs,46
rpms,46
tuesday,46
across,46
stories,46
ones,46
powerful,46
create,46
night,46
paper,45
mind,45
short,45
behind,45
player,45
result,45
storage,45
speed,45
display,45
pudge,45
matter,45
column,45
difficult,45
then,45
hall,45
city,45
plus,45
are,45
action,45
domain,45
united,45
screen,45
rules,45
zdnet,45
analysis,44
leave,44
share,44
af,44
sa,44
names,44
desktop,44
block,44
thinking,44
likely,44
ef,44
options,44
swe,44
cipher,44
due,44
happened,44
starting,44
behalf,44
dave,44
customers,44
skip,44
wish,44
york,43
tip,43
uses,43
countries,43
according,43
minutes,43
ca,43
arent,43
low,43
mime,43
michael,43
wednesday,43
redhat,43
turn,43
building,43
false,43
political,43
bottom,43
track,43
regards,43
listed,43
http,43
submit,43
notrack,43
asked,43
sizea,43
worked,43
nnfmp,42
wants,42
mouse,42
offer,42
license,42
side,42
geege,42
widthdimg,42
ximageurl,42
lives,42
editors,42
provides,42
provided,42
command,42
unseen,42
friend,42
score,42
egp,42
claimed,42
writing,42
dan,41
fixed,41
men,41
sound,41
longer,41
started,41
eg,41
fontimg,41
engineer,41
respect,41
whatever,41
xp,41
related,41
suite,41
radio,41
human,41
hear,41
offers,41
yesterday,41
giving,41
interest,41
widthtdtr,41
account,40
seconds,40
ul,40
secure,40
dvds,40
cause,40
director,40
brian,40
custom,40
vspace,40
guys,40
directly,40
speech,40
we,40
sequences,40
as,40
gk,40
journal,40
attention,40
base,40
newscom,40
nameaa,40
bring,40
,40
todays,40
fontb,40
unless,40
research,40
brbfont,39
agree,39
print,39
sets,39
adding,39
usually,39
common,39
cheers,39
sense,39
pickup,39
creating,39
standard,39
shows,39
sell,39
evidence,39
ptdtd,39
private,39
couldnt,39
aa,39
leads,39
party,39
signed,38
checked,38
funny,38
insert,38
wait,38
trade,38
evolution,38
numbers,38
ximian,38
national,38
french,38
vm,38
contents,38
growing,38
harley,38
includes,38
choose,38
brick,38
return,38
qmailldap,38
team,38
sadev,38
facems,38
spent,38
schuman,38
privacy,38
model,37
financial,37
borderatd,37
h,37
among,37
member,37
dvd,37
garrigues,37
rule,37
scripting,37
looked,37
areas,37
president,37
break,37
valhalla,37
appears,37
actual,37
fastest,37
enter,37
manager,37
exist,37
framework,37
existing,37
thursday,37
books,37
sizefont,37
