spam_words,count
free,866
mon,842
postfix,817
please,742
ist,734
size,724
microsoft,616
may,583
imap,532
jalapeno,529
bit,528
edt,525
get,524
internet,522
wed,519
mail,505
tue,496
service,495
new,494
one,485
time,484
business,481
click,480
you,452
thu,447
money,419
fri,413
center,413
normal,405
receive,394
borderd,388
border,377
address,372
jul,371
removed,370
xpriority,367
send,356
div,354
sep,348
dont,341
colordff,339
colord,331
want,329
color,324
aug,322
sender,318
remove,318
name,314
best,307
make,301
like,300
order,299
outlook,296
sat,290
home,290
meta,287
sun,287
company,286
jun,284
offer,283
cc,282
wish,278
sansserif,270
people,269
reply,268
help,267
call,264
need,262
express,261
go,261
life,260
phone,260
future,258
today,254
use,253
online,253
zzasonorg,250
credit,248
bulk,248
software,245
also,244
helvetica,244
available,243
work,242
day,242
version,237
it,236
b,235
would,233
web,229
pfont,226
take,226
pt,224
insurance,224
program,222
marketing,219
now,219
colspand,217
exchange,216
special,212
facearial,212
find,211
know,210
sent,209
bgcolorff,209
v,207
unknown,207
link,204
see,204
its,203
contact,202
million,201
within,199
easy,199
years,198
bfont,197
right,195
px,195
hours,194
bgcolord,194
even,193
pop,192
offers,192
days,191
first,189
price,188
emails,188
img,186
number,185
state,184
anyone,182
fontfont,181
arial,181
following,180
way,179
much,178
year,177
site,177
line,175
visit,174
services,174
low,173
value,172
product,170
every,170
cash,170
per,170
phobos,169
windows,169
ff,168
companies,168
save,167
rates,167
heightdtd,167
colorff,167
well,166
many,165
without,165
never,165
month,164
legal,164
financial,164
simply,163
fill,163
back,161
e,160
dollars,160
here,159
using,159
computer,159
less,159
receiving,158
system,157
format,157
in,157
good,155
simple,154
addresses,154
colspan,153
cost,153
products,153
card,152
pay,151
smtpsvc,150
account,149
build,149
mailings,148
great,148
must,146
report,145
long,145
more,145
fax,145
start,144
produced,143
include,143
public,143
week,142
utc,142
market,142
s,141
rate,141
check,141
give,140
buy,140
sfnet,139
h,138
info,138
income,138
cdt,137
herea,137
interest,136
could,136
errorsto,136
ad,136
forged,135
mimeole,134
xmimeole,134
mortgage,134
tbody,132
brbr,132
multipart,132
mime,131
valigntop,131
sites,130
listid,130
thank,129
c,128
access,128
ul,128
personal,127
full,127
made,127
style,127
sales,126
submit,126
risk,125
input,124
ever,123
is,122
i,122
nbsp,122
orders,121
only,121
read,120
city,120
complete,119
sponsored,119
website,119
last,118
hr,118
youll,117
search,116
provide,116
allow,116
making,115
them,115
times,115
keep,115
base,115
error,114
top,114
high,113
group,112
next,112
required,111
bgcolor,111
true,111
looking,111
removal,111
questions,110
purchase,110
heaven,109
hundreds,108
based,108
learn,108
world,108
friends,108
bank,107
quality,107
family,107
better,106
states,106
easily,105
come,105
real,104
