,host_count,avg_token_length,token_count,largest_token,url_length,ip_address,dots_count,critical_words,host_rank,host_country
0,8,8.0,3,18,52,0,2,0,-1,-1
1,8,8.0,3,18,43,0,2,1,-1,-1
2,3,4.33,3,7,42,0,3,0,-1,-1
3,28,5.67,3,11,33,0,2,0,-1,-1
4,28,5.67,3,11,33,0,2,0,-1,-1
5,83,6.0,2,9,23,0,1,0,6109,1342
6,197,6.33,3,11,57,0,2,0,326,217
7,53,4.67,3,8,27,0,2,0,-1,-1
8,83,6.0,2,9,23,0,1,0,6109,1342
9,1,5.33,3,10,43,0,3,0,-1,-1
10,197,6.33,3,11,67,0,2,0,326,217
11,83,6.0,2,9,23,0,1,0,6109,1342
12,197,6.33,3,11,67,0,2,0,326,217
13,2,6.67,3,10,71,0,3,0,-1,-1
14,2,6.67,3,14,81,0,5,0,-1,-1
15,18,5.33,3,10,44,0,2,0,-1,-1
16,18,5.33,3,10,35,0,2,1,-1,-1
17,44,3.5,2,4,37,0,1,0,-1,-1
18,44,3.5,2,4,37,0,1,0,-1,-1
19,83,6.0,2,9,23,0,1,0,6109,1342
20,197,6.33,3,11,67,0,2,0,326,217
21,8,7.0,2,11,23,0,1,0,-1,-1
22,83,6.0,2,9,23,0,1,0,6109,1342
23,197,6.33,3,11,61,0,2,0,326,217
24,32,4.0,3,6,30,0,2,0,-1,-1
25,197,6.33,3,11,67,0,2,0,326,217
26,4,2.75,4,3,37,1,4,0,-1,-1
27,4,2.75,4,3,50,1,4,0,-1,-1
28,3,3.75,4,6,26,0,3,0,82790,42530
29,2,2.67,6,4,29,0,1,0,-1,-1
30,2,2.67,6,4,41,0,2,0,-1,-1
31,2,2.0,4,2,19,1,3,0,-1,-1
32,2,2.0,4,2,30,1,4,0,-1,-1
33,47,3.33,3,5,41,0,2,0,-1,-1
34,2,7.0,2,11,22,0,1,0,3478,2576
35,2,7.0,2,11,82,0,4,0,3478,2576
36,1,4.0,3,6,21,0,2,0,-1,-1
37,44,3.5,2,4,37,0,1,0,-1,-1
38,83,6.0,2,9,23,0,1,0,6109,1342
39,197,6.33,3,11,67,0,2,0,326,217
40,53,4.67,3,8,27,0,2,0,-1,-1
41,83,6.0,2,9,23,0,1,0,6109,1342
42,197,6.33,3,11,67,0,2,0,326,217
43,1,2.75,4,3,52,1,4,0,-1,-1
44,1,4.0,3,5,33,0,1,0,-1,-1
45,4,7.0,2,11,25,0,1,0,-1,-1
46,32,6.33,3,13,28,0,2,0,-1,-1
47,32,6.33,3,13,28,0,2,0,-1,-1
48,7,3.67,3,5,21,0,2,0,-1,-1
49,12,9.0,3,21,36,0,2,0,-1,-1
50,12,9.0,3,21,95,0,4,0,-1,-1
51,11,5.75,4,10,33,0,2,0,-1,-1
52,11,5.75,4,10,34,0,2,0,-1,-1
53,14,9.0,3,21,62,0,3,0,-1,-1
54,4,4.75,4,8,29,0,2,0,-1,-1
55,4,4.75,4,8,40,0,3,0,-1,-1
56,2,4.67,3,8,23,0,2,0,-1,-1
57,47,3.33,3,5,41,0,2,0,-1,-1
58,1,3.0,4,4,51,0,3,0,-1,-1
59,3,2.25,4,3,26,1,3,0,-1,-1
60,3,2.25,4,3,26,1,3,0,-1,-1
61,3,2.25,4,3,30,1,4,0,-1,-1
62,2,4.5,4,11,28,0,2,0,-1,-1
63,32,4.0,3,6,30,0,2,0,-1,-1
64,197,6.33,3,11,67,0,2,0,326,217
65,1,2.75,4,3,49,1,4,0,-1,-1
66,2,6.67,3,11,29,0,2,0,-1,-1
67,18,5.67,3,11,33,0,2,0,-1,-1
68,18,5.67,3,11,33,0,2,0,-1,-1
69,2,4.0,4,7,26,0,2,0,-1,-1
70,2,6.33,3,13,78,0,4,0,-1,-1
71,47,3.33,3,5,41,0,2,0,-1,-1
72,1,6.67,3,14,36,0,2,0,-1,-1
73,18,5.33,3,10,44,0,2,0,-1,-1
74,18,5.33,3,10,35,0,2,0,-1,-1
75,6,2.75,4,3,27,1,3,0,-1,-1
76,6,2.75,4,3,33,1,4,0,-1,-1
77,83,6.0,2,9,23,0,1,0,6109,1342
78,197,6.33,3,11,57,0,2,0,326,217
79,9,2.5,4,3,26,1,3,0,-1,-1
80,9,2.5,4,3,36,1,4,0,-1,-1
81,4,7.0,3,12,54,0,2,0,-1,-1
82,4,7.0,3,12,45,0,2,0,-1,-1
83,53,4.67,3,8,27,0,2,0,-1,-1
84,83,6.0,2,9,23,0,1,0,6109,1342
85,197,6.33,3,11,67,0,2,0,326,217
86,8,4.33,3,7,30,0,2,0,-1,-1
87,8,4.33,3,7,34,0,3,0,-1,-1
88,40,4.0,3,7,41,0,3,1,-1,-1
89,40,4.0,3,7,41,0,3,1,-1,-1
